id_evenement,nom_evenement,date,id_lieu,prix,id_organisateur,type_evenement,ticketmaster_id
1,Taylor Swift - The Eras Tour,2025-06-15 20:00:00,22,120.00,2,concert,TM001
2,BTS - Map of the Soul World Tour,2025-07-01 20:30:00,22,95.00,6,concert,TM002
3,Angèle en Concert,2025-09-12 20:00:00,22,60.00,11,concert,TM003
4,Imagine Dragons - Live in Lyon,2025-10-08 20:00:00,17,85.00,19,concert,TM004
5,The Weeknd - After Hours Tour,2025-11-20 20:30:00,11,130.00,27,concert,TM005
6,Rosalía - Motomami Tour,2026-03-18 21:00:00,3,75.00,35,concert,TM006
7,Coldplay - Music of the Spheres,2026-04-23 20:00:00,22,115.00,2,concert,TM007
8,Indila en concert unique,2026-05-05 20:30:00,9,50.00,6,concert,TM008
9,Drake - Scorpion Live,2025-12-15 21:00:00,22,140.00,11,concert,TM009
10,Billie Eilish - Happier Than Ever Tour,2026-06-01 20:00:00,12,110.00,19,concert,TM010
11,Stray Kids - 5-Star Tour,2025-08-25 20:00:00,14,70.00,27,concert,TM011
12,Post Malone en concert,2026-07-20 20:30:00,10,100.00,35,concert,TM012
13,Ninho - Zenith Tour,2025-10-15 20:00:00,3,65.00,2,concert,TM013
14,Ed Sheeran - +–=÷× Tour,2026-03-03 20:00:00,20,125.00,6,concert,TM014
15,Dua Lipa - Future Nostalgia Tour,2025-07-30 20:00:00,6,95.00,11,concert,TM015
16,Jay Chou - Carnival World Tour,2026-01-15 20:00:00,16,70.00,19,concert,TM016
17,Ariana Grande - Sweetener Tour,2025-09-05 20:00:00,18,100.00,27,concert,TM017
18,Wizkid - Made in Lagos Live,2026-02-14 21:00:00,19,85.00,35,concert,TM018
19,Aya Nakamura - DNK Tour,2025-11-08 20:00:00,8,60.00,2,concert,TM019
20,Lisa - Lalisa Solo Tour,2026-06-10 20:00:00,15,105.00,6,concert,TM020
21,Les Vieilles Charrues 2025,2025-07-18 18:00:00,6,180.00,11,festival,TM021
22,Main Square Festival,2025-07-05 17:00:00,15,150.00,19,festival,TM022
23,Summer Sound Festival,2025-08-10 16:30:00,13,160.00,27,festival,TM023
24,Electrobeach Music Festival,2026-07-15 18:00:00,19,170.00,35,festival,TM024
25,Rock en Seine,2025-08-23 17:30:00,10,155.00,2,festival,TM025
26,Delta Festival,2026-06-28 18:00:00,17,145.00,6,festival,TM026
27,Printemps de Bourges,2026-04-18 18:00:00,5,135.00,11,festival,TM027
28,Fnac Live Paris,2026-07-10 19:00:00,16,0.00,19,festival,TM028
29,Francofolies de La Rochelle,2026-07-13 18:00:00,13,140.00,27,festival,TM029
30,Garorock,2026-06-30 17:30:00,19,175.00,35,festival,TM030
31,Cyrano de Bergerac,2025-11-22 20:00:00,5,40.00,2,autre,TM031
32,One Night with Florence Foresti,2026-01-19 20:30:00,8,50.00,6,autre,TM032
33,Comédie Musicale - Le Roi Soleil,2025-12-05 19:30:00,20,65.00,11,autre,TM033
34,Conférence TEDx Paris,2026-02-14 18:00:00,1,30.00,19,autre,TM034
35,Théâtre - Le Prénom,2026-03-09 20:00:00,15,45.00,27,autre,TM035
36,Les Grosses Têtes en public,2026-04-06 20:00:00,11,35.00,35,autre,TM036
37,Spectacle musical – Mozart l'Opéra Rock,2026-06-20 20:00:00,18,70.00,2,autre,TM037
38,Pièce de théâtre – Art,2025-10-11 20:30:00,9,40.00,6,autre,TM038
39,Comédie – La Famille Bélier,2026-05-13 20:00:00,12,60.00,11,autre,TM039
40,Spectacle interactif – Mentaliste en scène,2026-07-04 20:30:00,14,55.00,19,autre,TM040
41,N.flying 4&con,2025-10-04,,,,concert,
